wine_type,citric acid,fixed acidity,volatile acidity,residual sugar,chlorides,sulphates,free sulfur dioxide,total sulfur dioxide,density,pH,alcohol,quality,quality_label
white wine,0.28,5.1,0.21,1.4,0.047,0.49,48.0,148.0,0.9916799999999999,3.5,10.4,5,low quality
white wine,0.35,6.9,0.115,5.4,0.048,0.42,36.0,108.0,0.9939,3.32,10.2,6,medium quality
white wine,0.28,6.9,0.19,5.0,0.057999999999999996,0.36,14.0,146.0,0.9952,3.29,9.1,6,medium quality
white wine,0.49,6.2,0.2,1.6,0.065,0.52,17.0,143.0,0.9937,3.22,9.2,6,medium quality
red wine,0.36,7.2,0.415,2.0,0.081,0.64,13.0,45.0,0.9972,3.48,9.2,5,low quality
white wine,0.28,6.0,0.25,7.7,0.053,0.5,37.0,132.0,0.9948899999999999,3.06,9.4,6,medium quality
white wine,0.49,7.6,0.47,13.0,0.239,0.51,42.0,220.0,0.9988,2.96,9.2,5,low quality
white wine,0.24,6.8,0.3,6.6,0.12300000000000001,0.48,35.0,116.0,0.9953,3.07,9.4,5,low quality
white wine,0.26,7.4,0.37,9.6,0.05,0.46,33.0,134.0,0.99608,3.13,10.4,5,low quality
white wine,0.21,6.4,0.26,8.2,0.05,0.48,51.0,182.0,0.9954200000000001,3.23,9.5,5,low quality
white wine,0.3,6.0,0.17,7.3,0.039,0.57,39.0,104.0,0.9925200000000001,2.91,11.0,6,medium quality
white wine,0.27,6.8,0.25,10.7,0.076,0.38,47.0,154.0,0.9967,3.05,9.0,5,low quality
red wine,0.52,10.9,0.32,1.8,0.132,0.77,17.0,44.0,0.99734,3.28,11.5,6,medium quality
white wine,0.23,4.8,0.26,10.6,0.034,0.28,23.0,111.0,0.99274,3.46,11.5,7,medium quality
white wine,0.31,8.3,0.17,1.5,0.049,0.58,48.0,153.0,0.9942,3.12,9.4,6,medium quality
white wine,0.3,6.8,0.45,11.8,0.094,0.44,23.0,97.0,0.997,3.09,9.6,5,low quality
white wine,0.32,6.4,0.22,7.9,0.028999999999999998,0.39,34.0,124.0,0.9948,3.4,10.2,5,low quality
white wine,0.34,6.4,0.22,1.8,0.057,0.57,29.0,104.0,0.9959,3.81,10.3,6,medium quality
white wine,0.24,6.3,0.26,7.2,0.039,0.64,38.0,172.0,0.9958,3.49,9.7,6,medium quality
red wine,0.23,7.9,0.37,1.8,0.077,0.67,23.0,49.0,0.9963,3.28,9.3,5,low quality
white wine,0.41,6.6,0.32,7.2,0.048,0.46,55.0,178.0,0.9953700000000001,3.2,9.4,5,low quality
white wine,0.19,7.1,0.26,8.2,0.051,0.52,53.0,187.0,0.996,3.16,9.7,5,low quality
white wine,0.3,7.7,0.24,1.4,0.040999999999999995,0.53,15.0,102.0,0.9929,3.26,10.4,6,medium quality
white wine,0.37,7.0,0.21,7.2,0.042,0.56,36.0,167.0,0.9958,3.26,9.8,6,medium quality
white wine,0.57,6.3,0.22,1.4,0.20800000000000002,0.43,14.0,96.0,0.9932,3.16,10.0,6,medium quality
red wine,0.58,12.4,0.49,3.0,0.10300000000000001,1.0,28.0,99.0,1.0008,3.16,11.5,6,medium quality
white wine,0.45,5.5,0.24,1.7,0.046,0.48,22.0,113.0,0.99224,3.22,10.0,5,low quality
red wine,0.68,8.6,0.635,1.8,0.40299999999999997,1.15,19.0,56.0,0.9963200000000001,3.02,9.3,5,low quality
white wine,0.32,6.8,0.29,1.8,0.032,0.62,18.0,130.0,0.99095,3.05,11.2,6,medium quality
red wine,0.42,8.2,0.32,2.3,0.098,0.55,3.0,9.0,0.9950600000000001,3.27,12.3,6,medium quality
white wine,0.31,5.9,0.15,5.8,0.040999999999999995,0.46,53.0,155.0,0.9945,3.52,10.5,6,medium quality
red wine,0.0,7.0,0.54,2.1,0.079,0.84,39.0,55.0,0.9956,3.39,11.4,6,medium quality
white wine,0.56,8.4,0.35,13.8,0.048,0.58,55.0,190.0,0.9993,3.07,9.4,6,medium quality
white wine,0.31,6.5,0.29,1.7,0.035,0.69,24.0,79.0,0.9905299999999999,3.27,11.4,7,medium quality
white wine,0.34,7.5,0.21,1.2,0.06,0.47,26.0,111.0,0.9931,3.51,10.7,6,medium quality
white wine,0.81,6.9,0.21,1.1,0.13699999999999998,0.39,52.0,123.0,0.9932,3.03,9.2,6,medium quality
white wine,0.24,7.0,0.44,12.1,0.055999999999999994,0.5,68.0,210.0,0.99718,3.05,9.5,5,low quality
white wine,0.24,5.9,0.25,7.4,0.044000000000000004,0.58,21.0,113.0,0.9946200000000001,3.38,10.5,6,medium quality
white wine,0.38,6.8,0.25,8.1,0.046,0.59,24.0,155.0,0.9956,3.33,10.2,6,medium quality
white wine,0.22,6.8,0.27,8.1,0.034,0.52,55.0,203.0,0.9961,3.19,8.9,5,low quality
white wine,0.27,6.9,0.26,4.2,0.031,0.39,20.0,80.0,0.9908899999999999,3.12,11.5,6,medium quality
white wine,0.38,6.5,0.36,10.2,0.027999999999999997,0.43,20.0,82.0,0.99274,3.1,12.1,7,medium quality
white wine,0.28,6.9,0.21,2.4,0.055999999999999994,0.47,49.0,159.0,0.9944,3.02,8.8,8,high quality
white wine,0.53,6.3,0.25,1.8,0.021,0.31,41.0,101.0,0.9893149999999999,3.19,13.0,6,medium quality
red wine,0.42,7.1,0.43,5.5,0.07,0.72,29.0,129.0,0.9973,3.42,10.5,5,low quality
white wine,0.37,6.2,0.26,7.1,0.047,0.48,54.0,201.0,0.99523,3.19,9.5,6,medium quality
red wine,0.09,8.2,0.74,2.0,0.067,0.57,5.0,10.0,0.99418,3.28,11.8,6,medium quality
red wine,0.22,10.0,0.58,1.9,0.08,0.55,9.0,32.0,0.9974,3.13,9.5,5,low quality
red wine,0.45,10.4,0.52,2.0,0.08,0.76,6.0,13.0,0.99774,3.22,11.4,6,medium quality
white wine,0.01,6.2,0.76,3.2,0.040999999999999995,0.94,18.0,120.0,0.99026,3.2,13.7,7,medium quality
red wine,0.08,5.9,0.61,2.1,0.071,0.77,16.0,24.0,0.9937600000000001,3.56,11.1,6,medium quality
white wine,0.4,3.9,0.225,4.2,0.03,0.36,29.0,118.0,0.9890000000000001,3.57,12.8,8,high quality
white wine,0.28,6.6,0.22,4.9,0.042,0.75,51.0,180.0,0.9952,3.3,9.5,6,medium quality
white wine,0.31,6.3,0.23,1.5,0.022000000000000002,0.4,11.0,82.0,0.9892,3.3,12.9,7,medium quality
red wine,0.53,11.1,0.31,2.2,0.06,0.83,3.0,10.0,0.99572,3.02,10.9,7,medium quality
white wine,0.41,6.9,0.23,8.0,0.03,0.54,30.0,114.0,0.9936799999999999,3.22,11.0,6,medium quality
white wine,0.28,6.4,0.18,17.05,0.047,0.35,53.0,139.0,0.99724,3.25,10.5,6,medium quality
white wine,0.15,6.9,0.32,8.1,0.046,0.45,51.0,180.0,0.9958,3.13,8.9,5,low quality
white wine,0.31,7.0,0.21,6.0,0.046,0.5,29.0,108.0,0.9939,3.26,10.8,6,medium quality
white wine,0.31,6.7,0.28,7.4,0.040999999999999995,0.47,7.0,81.0,0.99254,3.04,11.4,8,high quality
white wine,0.29,8.2,0.36,7.6,0.035,0.34,37.0,122.0,0.9939,3.16,12.0,5,low quality
white wine,0.33,8.8,0.34,9.7,0.036000000000000004,0.4,46.0,172.0,0.9966,3.08,10.2,5,low quality
white wine,0.18,5.2,0.5,2.0,0.036000000000000004,0.77,23.0,129.0,0.98949,3.36,13.4,7,medium quality
white wine,0.0,5.9,0.54,0.8,0.032,0.36,12.0,82.0,0.9928600000000001,3.25,8.8,5,low quality
white wine,0.31,7.2,0.18,1.1,0.045,0.4,20.0,73.0,0.9925,3.32,10.8,7,medium quality
white wine,0.32,7.4,0.45,7.1,0.044000000000000004,0.41,17.0,117.0,0.9962,3.32,10.4,4,low quality
white wine,0.32,4.8,0.13,1.2,0.042,0.64,40.0,98.0,0.9898,3.42,11.8,7,medium quality
white wine,0.32,6.4,0.25,0.9,0.034,0.58,40.0,114.0,0.9911399999999999,3.31,10.8,7,medium quality
white wine,0.22,6.0,0.28,12.15,0.048,0.46,42.0,163.0,0.9957,3.2,10.1,5,low quality
red wine,0.49,7.6,0.41,2.0,0.08800000000000001,0.64,16.0,43.0,0.998,3.48,9.1,5,low quality
red wine,0.06,6.2,0.65,1.6,0.05,0.54,6.0,18.0,0.9934799999999999,3.57,11.95,5,low quality
white wine,0.37,7.3,0.22,14.3,0.063,0.38,48.0,191.0,0.9978,2.89,9.0,6,medium quality
white wine,0.34,6.5,0.26,1.4,0.04,0.46,25.0,184.0,0.99216,3.29,10.7,5,low quality
white wine,0.3,7.4,0.26,7.9,0.049,0.48,38.0,157.0,0.9963,3.13,8.9,6,medium quality
white wine,0.65,7.3,0.18,1.4,0.046,0.62,28.0,157.0,0.9946,3.33,9.4,6,medium quality
white wine,0.33,6.9,0.41,10.1,0.043,0.52,28.0,152.0,0.9968,3.2,9.4,5,low quality
white wine,0.25,8.8,0.27,5.0,0.024,0.49,52.0,99.0,0.9925,2.87,11.4,5,low quality
white wine,0.32,7.5,0.17,1.7,0.04,0.44,51.0,148.0,0.9916,3.21,11.5,7,medium quality
white wine,0.14,6.4,0.595,5.2,0.057999999999999996,0.36,15.0,97.0,0.9951,3.38,9.0,4,low quality
white wine,0.34,7.7,0.3,1.2,0.048,0.34,4.0,119.0,0.9908399999999999,3.18,12.1,6,medium quality
red wine,0.56,10.3,0.27,1.4,0.047,0.51,3.0,8.0,0.99471,3.16,11.8,6,medium quality
white wine,0.29,6.2,0.21,1.6,0.039,0.5,24.0,92.0,0.9911399999999999,3.27,11.2,6,medium quality
red wine,0.18,6.9,0.765,2.4,0.243,0.6,5.5,48.0,0.9961200000000001,3.4,10.3,6,medium quality
white wine,0.04,5.7,0.385,12.6,0.034,0.63,22.0,115.0,0.9964,3.28,9.9,6,medium quality
white wine,0.27,6.0,0.28,15.5,0.036000000000000004,0.44,31.0,134.0,0.99408,3.19,13.0,7,medium quality
white wine,0.29,7.7,0.29,4.8,0.06,0.59,27.0,156.0,0.99572,3.49,10.3,6,medium quality
white wine,0.36,8.2,0.2,8.1,0.035,0.3,60.0,163.0,0.9952,3.05,10.3,6,medium quality
red wine,0.54,10.4,0.28,2.7,0.105,0.63,5.0,19.0,0.9988,3.25,9.5,5,low quality
white wine,0.13,6.0,0.39,1.2,0.042,0.52,60.0,172.0,0.9911399999999999,3.06,10.6,5,low quality
white wine,0.74,7.4,0.31,10.7,0.039,0.43,51.0,147.0,0.9977,3.02,8.7,5,low quality
red wine,0.04,7.8,0.53,1.7,0.076,0.56,17.0,31.0,0.9964,3.33,10.0,6,medium quality
red wine,0.0,6.3,0.47,1.4,0.055,0.48,27.0,33.0,0.9922,3.45,12.3,6,medium quality
white wine,0.3,7.0,0.24,4.2,0.04,0.49,41.0,213.0,0.9927,3.28,11.8,6,medium quality
white wine,0.33,7.1,0.21,1.2,0.039,0.75,34.0,97.0,0.9911200000000001,3.11,11.2,6,medium quality
white wine,0.32,5.7,0.25,12.2,0.040999999999999995,0.53,43.0,127.0,0.99524,3.23,10.4,7,medium quality
white wine,0.38,6.8,0.2,4.7,0.04,0.58,27.0,103.0,0.9940000000000001,3.37,10.7,6,medium quality
white wine,0.33,6.6,0.42,2.8,0.034,0.51,15.0,85.0,0.99,3.28,13.4,6,medium quality
red wine,0.57,7.5,0.38,2.3,0.106,0.55,5.0,12.0,0.99605,3.36,11.4,6,medium quality
white wine,0.29,6.0,0.26,3.1,0.040999999999999995,0.39,37.0,144.0,0.98944,3.22,12.8,7,medium quality
white wine,0.6,6.8,0.28,1.1,0.132,0.44,42.0,127.0,0.9934,3.09,9.1,6,medium quality
red wine,0.68,7.8,0.48,1.7,0.415,1.06,14.0,32.0,0.99656,3.09,9.1,6,medium quality
white wine,0.25,6.6,0.26,11.6,0.045,0.43,45.0,178.0,0.9969100000000001,3.33,9.8,6,medium quality
white wine,0.35,6.6,0.25,2.9,0.034,0.4,38.0,121.0,0.99008,3.19,12.8,6,medium quality
red wine,0.0,7.2,0.63,1.9,0.09699999999999999,0.58,14.0,38.0,0.99675,3.37,9.0,6,medium quality
white wine,0.3,5.8,0.26,2.6,0.034,0.38,75.0,129.0,0.9902,3.2,11.5,4,low quality
white wine,0.37,6.1,0.31,8.4,0.031,0.4,70.0,170.0,0.9934,3.42,11.7,8,high quality
white wine,0.26,5.8,0.24,10.05,0.039,0.5,63.0,162.0,0.99375,3.33,11.2,6,medium quality
red wine,0.27,5.4,0.42,2.0,0.092,0.64,23.0,55.0,0.99471,3.78,12.3,7,medium quality
white wine,0.04,5.2,0.44,1.4,0.036000000000000004,0.33,43.0,119.0,0.9894,3.36,12.1,8,high quality
white wine,0.33,6.8,0.23,1.9,0.047,0.46,20.0,101.0,0.9914,3.1,11.1,6,medium quality
white wine,0.4,6.1,0.2,1.9,0.027999999999999997,0.72,32.0,138.0,0.9914,3.26,11.7,5,low quality
white wine,0.25,7.3,0.32,7.2,0.055999999999999994,0.47,47.0,180.0,0.9961,3.08,8.8,5,low quality
red wine,0.53,10.7,0.35,2.6,0.07,0.65,5.0,16.0,0.9972,3.15,11.0,8,high quality
white wine,0.24,6.6,0.26,7.2,0.038,0.6,28.0,137.0,0.9952,3.35,10.4,6,medium quality
red wine,0.0,6.5,0.615,1.9,0.065,0.65,9.0,18.0,0.9972,3.46,9.2,5,low quality
white wine,0.17,6.5,0.52,1.4,0.047,0.32,5.0,26.0,0.9932,3.26,10.0,4,low quality
white wine,0.08,6.4,0.46,4.9,0.046,0.56,34.0,144.0,0.99445,3.1,10.0,5,low quality
white wine,0.31,6.8,0.22,1.4,0.053,0.77,34.0,114.0,0.9929,3.39,10.6,6,medium quality
red wine,0.4,8.9,0.38,2.2,0.068,0.75,12.0,28.0,0.9948600000000001,3.27,12.6,7,medium quality
white wine,0.22,6.3,0.28,11.5,0.036000000000000004,0.33,27.0,150.0,0.99445,3.0,10.6,6,medium quality
white wine,0.33,6.6,0.25,8.5,0.042,0.6,29.0,141.0,0.99546,3.28,10.4,5,low quality
white wine,0.35,6.0,0.28,1.9,0.037000000000000005,0.69,16.0,120.0,0.9933,3.16,10.6,5,low quality
white wine,0.29,6.5,0.22,7.4,0.027999999999999997,0.56,16.0,87.0,0.99311,3.15,10.9,7,medium quality
white wine,0.34,7.1,0.29,7.8,0.036000000000000004,0.4,49.0,128.0,0.99397,3.21,10.7,6,medium quality
red wine,0.27,7.7,0.75,3.8,0.11,0.45,34.0,89.0,0.99664,3.24,9.3,5,low quality
white wine,0.45,6.5,0.25,7.8,0.048,0.53,52.0,188.0,0.9957600000000001,3.2,9.1,5,low quality
white wine,0.27,6.2,0.28,10.3,0.03,0.36,26.0,108.0,0.9938799999999999,3.2,10.7,6,medium quality
white wine,0.55,6.3,0.695,12.9,0.055999999999999994,0.49,58.0,252.0,0.9980600000000001,3.29,8.7,5,low quality
white wine,0.26,6.8,0.21,11.7,0.038,0.56,61.0,152.0,0.99523,3.02,10.5,7,medium quality
white wine,0.29,6.6,0.27,5.3,0.045,0.79,57.0,189.0,0.9953,3.31,9.8,5,low quality
white wine,0.26,6.7,0.26,4.1,0.073,0.67,36.0,202.0,0.9956,3.3,9.5,5,low quality
white wine,0.29,7.3,0.41,1.8,0.032,0.35,26.0,74.0,0.9888899999999999,2.96,13.0,8,high quality
red wine,0.53,11.9,0.695,3.4,0.128,0.84,7.0,21.0,0.9992,3.17,12.2,7,medium quality
red wine,0.0,7.6,1.58,2.1,0.13699999999999998,0.4,5.0,9.0,0.9947600000000001,3.5,10.9,3,low quality
red wine,0.3,7.0,0.6,4.5,0.068,1.17,20.0,110.0,0.9991399999999999,3.3,10.2,5,low quality
red wine,0.35,8.9,0.29,1.9,0.067,1.36,25.0,57.0,0.997,3.18,10.3,6,medium quality
white wine,0.49,7.6,0.21,2.5,0.047,0.48,20.0,130.0,0.9917799999999999,3.15,11.1,5,low quality
white wine,0.36,8.0,0.45,8.8,0.026000000000000002,0.25,50.0,151.0,0.9927,3.07,12.7,8,high quality
white wine,0.26,5.6,0.12,4.3,0.038,0.46,18.0,97.0,0.99477,3.36,9.2,5,low quality
white wine,0.28,5.8,0.32,4.3,0.032,0.57,46.0,115.0,0.98946,3.16,13.0,8,high quality
white wine,0.36,7.2,0.32,2.0,0.033,0.71,37.0,114.0,0.9906,3.1,12.3,7,medium quality
red wine,0.38,8.7,0.33,3.3,0.063,0.73,10.0,19.0,0.9946799999999999,3.3,12.0,7,medium quality
white wine,0.21,5.5,0.28,1.6,0.032,0.42,23.0,85.0,0.9902700000000001,3.42,12.5,5,low quality
white wine,0.24,6.1,0.28,19.95,0.07400000000000001,0.44,32.0,174.0,0.9992200000000001,3.19,9.3,6,medium quality
white wine,0.33,6.8,0.26,1.5,0.047,0.44,44.0,167.0,0.9928,3.12,10.5,6,medium quality
white wine,0.29,6.9,0.15,2.3,0.033,0.58,14.0,82.0,0.9913200000000001,3.1,11.2,7,medium quality
white wine,0.47,8.1,0.5,1.1,0.037000000000000005,0.42,23.0,126.0,0.9938,3.21,10.9,5,low quality
white wine,0.19,7.2,0.23,13.7,0.052000000000000005,0.53,47.0,197.0,0.99865,3.12,9.0,5,low quality
red wine,0.01,7.7,0.58,1.8,0.08800000000000001,0.56,12.0,18.0,0.9956799999999999,3.32,10.5,7,medium quality
red wine,0.26,7.9,0.52,1.9,0.079,0.54,42.0,140.0,0.9964,3.23,9.5,5,low quality
white wine,0.72,6.5,0.22,6.8,0.042,0.36,33.0,168.0,0.9958,3.12,9.2,6,medium quality
red wine,0.22,8.1,0.575,2.1,0.077,0.51,12.0,65.0,0.9967,3.29,9.2,5,low quality
white wine,0.24,7.9,0.22,4.6,0.044000000000000004,0.28,39.0,159.0,0.9927,2.99,11.5,6,medium quality
white wine,0.74,7.2,0.27,12.5,0.037000000000000005,0.44,47.0,156.0,0.9981,3.04,8.7,5,low quality
white wine,0.38,8.1,0.25,3.8,0.051,0.38,18.0,129.0,0.9928,3.21,11.5,6,medium quality
white wine,0.29,6.6,0.25,1.1,0.068,0.58,39.0,124.0,0.9914,3.34,11.0,7,medium quality
white wine,0.37,7.3,0.29,8.3,0.044000000000000004,0.47,45.0,227.0,0.9966,3.12,9.0,5,low quality
white wine,0.49,8.8,0.35,1.0,0.036000000000000004,0.33,14.0,56.0,0.992,2.96,10.5,4,low quality
red wine,0.54,12.5,0.28,2.3,0.08199999999999999,1.36,12.0,29.0,0.9997,3.11,9.8,7,medium quality
white wine,0.4,7.2,0.29,13.6,0.045,0.59,66.0,231.0,0.9977,3.08,9.6,6,medium quality
white wine,0.33,6.9,0.18,1.0,0.054000000000000006,0.51,24.0,164.0,0.9926,3.42,10.5,5,low quality
white wine,0.28,7.4,0.25,7.25,0.027999999999999997,0.37,14.0,78.0,0.9923799999999999,2.94,11.5,7,medium quality
white wine,0.4,6.8,0.23,1.6,0.047,0.7,5.0,133.0,0.993,3.23,11.4,6,medium quality
white wine,0.51,6.3,0.27,7.6,0.049,0.54,35.0,200.0,0.9954799999999999,3.16,9.4,4,low quality
red wine,0.43,9.8,0.39,1.65,0.068,0.46,5.0,11.0,0.9947799999999999,3.19,11.4,5,low quality
white wine,0.26,6.7,0.38,9.55,0.036000000000000004,0.37,35.0,91.0,0.9919,2.98,12.4,6,medium quality
red wine,0.12,7.0,0.58,1.9,0.091,0.48,34.0,124.0,0.9956,3.44,10.5,5,low quality
white wine,0.35,6.8,0.27,7.8,0.048,0.43,76.0,197.0,0.9959,3.24,9.5,6,medium quality
red wine,0.02,7.5,0.51,1.7,0.084,0.54,13.0,31.0,0.9953799999999999,3.36,10.5,6,medium quality
white wine,0.36,6.3,0.18,1.2,0.034,0.51,26.0,111.0,0.99074,3.16,11.0,6,medium quality
white wine,0.35,6.9,0.16,1.3,0.043,0.62,21.0,182.0,0.9927,3.25,10.8,6,medium quality
white wine,0.34,7.4,0.105,12.2,0.05,0.37,57.0,146.0,0.9973,3.16,9.0,6,medium quality
white wine,0.28,5.7,0.265,6.9,0.036000000000000004,0.44,46.0,150.0,0.9929899999999999,3.36,10.8,7,medium quality
white wine,0.3,6.6,0.22,14.7,0.045,0.37,50.0,136.0,0.9970399999999999,3.14,10.6,6,medium quality
white wine,0.38,7.0,0.15,15.3,0.045,0.42,54.0,120.0,0.9975,3.18,9.8,6,medium quality
white wine,0.3,7.0,0.35,6.5,0.027999999999999997,0.42,27.0,87.0,0.9936,3.4,11.4,7,medium quality
white wine,0.31,6.1,0.27,1.5,0.035,0.44,17.0,83.0,0.9907600000000001,3.32,11.1,7,medium quality
red wine,0.02,7.0,0.65,2.1,0.066,0.67,8.0,25.0,0.9972,3.47,9.5,6,medium quality
white wine,0.37,7.3,0.43,4.6,0.027999999999999997,0.43,17.0,114.0,0.991,3.23,13.2,6,medium quality
red wine,0.45,8.0,0.31,2.1,0.21600000000000003,0.81,5.0,16.0,0.9935799999999999,3.15,12.5,7,medium quality
white wine,0.49,6.2,0.3,11.2,0.057999999999999996,0.6,68.0,215.0,0.99656,3.19,9.4,6,medium quality
white wine,0.91,6.3,0.3,8.2,0.034,0.49,50.0,199.0,0.9939399999999999,3.39,11.7,6,medium quality
white wine,0.42,6.7,0.2,14.0,0.038,0.5,83.0,160.0,0.9987,3.16,9.4,6,medium quality
white wine,0.27,7.6,0.31,8.8,0.021,0.38,57.0,156.0,0.9944200000000001,3.08,11.0,7,medium quality
white wine,0.0,4.7,0.785,3.4,0.036000000000000004,0.92,23.0,134.0,0.9898100000000001,3.53,13.8,6,medium quality
red wine,0.44,10.8,0.32,1.6,0.063,0.78,16.0,37.0,0.9985,3.22,10.0,6,medium quality
white wine,0.29,7.1,0.47,14.8,0.024,0.48,22.0,142.0,0.99518,3.12,12.0,8,high quality
white wine,0.3,6.6,0.28,12.9,0.033,0.39,31.0,177.0,0.99479,3.12,11.2,6,medium quality
white wine,0.42,8.0,0.28,7.1,0.045,0.43,41.0,169.0,0.9959,3.17,10.6,5,low quality
white wine,0.13,5.4,0.5,5.0,0.027999999999999997,0.88,12.0,107.0,0.99079,3.48,13.5,7,medium quality
white wine,0.29,5.4,0.22,1.2,0.045,0.63,69.0,152.0,0.9917799999999999,3.76,11.0,7,medium quality
red wine,0.26,7.4,0.6,7.3,0.07,0.49,36.0,121.0,0.9982,3.37,9.4,5,low quality
red wine,0.07,7.2,0.48,5.5,0.08900000000000001,0.68,10.0,18.0,0.99684,3.37,11.2,7,medium quality
white wine,0.3,6.4,0.29,6.5,0.209,0.4,62.0,156.0,0.9947799999999999,3.1,9.4,5,low quality
white wine,0.33,7.7,0.28,6.7,0.037000000000000005,0.62,32.0,155.0,0.9951,3.39,10.7,7,medium quality
red wine,0.1,8.4,0.6,2.2,0.085,0.66,14.0,111.0,0.9964,3.15,9.8,5,low quality
white wine,0.2,6.4,0.38,5.3,0.11699999999999999,0.43,57.0,181.0,0.99459,3.24,9.5,6,medium quality
white wine,0.29,6.9,0.3,1.3,0.053,0.54,24.0,189.0,0.9936200000000001,3.29,9.9,4,low quality
white wine,0.27,5.8,0.3,1.7,0.013999999999999999,0.56,45.0,104.0,0.9891399999999999,3.4,12.6,7,medium quality
white wine,0.29,5.7,0.31,7.3,0.05,0.5,33.0,143.0,0.9933200000000001,3.31,11.066666666666698,6,medium quality
white wine,0.23,6.9,0.37,9.5,0.057,0.42,54.0,166.0,0.9956799999999999,3.23,10.0,5,low quality
white wine,0.32,7.6,0.39,3.6,0.035,0.6,22.0,93.0,0.99144,3.08,12.5,7,medium quality
white wine,0.18,6.6,0.34,6.4,0.08199999999999999,0.48,47.0,240.0,0.9971,3.42,9.2,5,low quality
red wine,0.03,7.2,0.655,1.8,0.078,0.39,7.0,12.0,0.99587,3.34,9.5,5,low quality
white wine,0.44,6.8,0.28,9.3,0.031,0.36,35.0,137.0,0.9946,3.16,10.4,6,medium quality
red wine,0.02,7.0,0.43,1.9,0.08,0.81,15.0,28.0,0.99492,3.35,10.6,6,medium quality
white wine,0.29,6.3,0.28,6.8,0.051,0.59,40.0,143.0,0.99374,3.43,11.0,6,medium quality
white wine,0.26,6.0,0.26,2.2,0.035,0.48,10.0,72.0,0.9894649999999999,3.11,12.15,6,medium quality
white wine,0.46,7.2,0.23,6.4,0.036000000000000004,0.78,17.0,85.0,0.99279,3.1,11.7,6,medium quality
white wine,0.38,5.3,0.31,10.5,0.031,0.46,53.0,140.0,0.99321,3.34,11.7,6,medium quality
white wine,0.38,5.8,0.32,4.75,0.033,0.42,23.0,94.0,0.991,3.42,11.8,7,medium quality
white wine,0.3,8.0,0.19,2.0,0.053,0.49,48.0,140.0,0.9940000000000001,3.18,9.6,6,medium quality
white wine,0.29,6.9,0.38,13.65,0.048,0.6,52.0,189.0,0.99784,3.0,9.5,6,medium quality
white wine,0.17,6.2,0.3,2.8,0.04,0.46,24.0,125.0,0.9939,3.01,9.0,5,low quality
red wine,0.0,7.3,0.695,2.5,0.075,0.52,3.0,13.0,0.998,3.49,9.2,5,low quality
white wine,0.36,7.1,0.3,6.8,0.055,0.64,44.5,234.0,0.9972,3.49,10.2,6,medium quality
white wine,0.49,5.8,0.15,1.1,0.048,0.48,21.0,98.0,0.9929,3.19,9.2,5,low quality
red wine,0.5,11.3,0.37,1.8,0.09,0.57,20.0,47.0,0.99734,3.15,10.5,5,low quality
red wine,0.68,10.6,0.44,4.1,0.114,0.66,6.0,24.0,0.997,3.06,13.4,6,medium quality
white wine,0.31,6.5,0.36,13.55,0.053,0.56,20.0,113.0,0.99544,3.2,11.0,6,medium quality
white wine,0.28,7.3,0.4,6.5,0.037000000000000005,0.58,26.0,97.0,0.9914799999999999,3.16,12.6,7,medium quality
white wine,0.09,4.4,0.54,5.1,0.038,0.4,52.0,97.0,0.9902200000000001,3.41,12.2,7,medium quality
white wine,0.26,6.8,0.43,5.2,0.043,0.41,40.0,176.0,0.99116,3.17,12.3,6,medium quality
white wine,0.28,6.8,0.37,4.0,0.03,0.46,29.0,79.0,0.99,3.23,12.4,7,medium quality
red wine,0.34,7.7,0.18,2.7,0.066,0.78,15.0,58.0,0.9947,3.37,11.8,6,medium quality
white wine,0.22,6.6,0.39,4.0,0.038,0.53,17.0,98.0,0.99018,3.25,13.0,7,medium quality
red wine,0.26,8.8,0.685,1.6,0.08800000000000001,0.47,16.0,23.0,0.9969399999999999,3.32,9.4,5,low quality
white wine,0.26,7.0,0.31,7.4,0.069,0.46,28.0,160.0,0.9954,3.13,9.8,6,medium quality
white wine,0.33,6.5,0.18,8.0,0.051,0.44,16.0,131.0,0.9965,3.28,8.7,7,medium quality
white wine,0.74,7.0,0.17,12.8,0.045,0.38,24.0,126.0,0.9942,3.26,12.2,8,high quality
red wine,0.23,6.4,0.4,1.6,0.066,0.56,5.0,12.0,0.9958,3.34,9.2,5,low quality
white wine,0.29,6.8,0.24,2.0,0.044000000000000004,0.64,15.0,96.0,0.9923200000000001,3.23,10.4,8,high quality
red wine,0.1,7.7,0.58,1.8,0.102,0.49,28.0,109.0,0.99565,3.08,9.8,6,medium quality
white wine,0.3,7.2,0.26,2.1,0.033,0.43,50.0,158.0,0.9909,3.33,12.1,7,medium quality
white wine,0.25,6.6,0.27,1.2,0.033,0.37,36.0,111.0,0.98918,3.16,12.4,6,medium quality
red wine,0.33,7.2,0.33,1.7,0.061,1.1,3.0,13.0,0.996,3.23,10.0,8,high quality
white wine,0.37,6.3,0.27,7.9,0.047,0.48,58.0,215.0,0.9954200000000001,3.19,9.5,6,medium quality
white wine,0.0,7.2,0.5,0.8,0.034,0.34,46.0,114.0,0.9932,3.19,9.2,4,low quality
white wine,0.25,5.9,0.14,4.5,0.027000000000000003,0.51,34.0,140.0,0.9934,3.49,10.8,6,medium quality
white wine,0.12,5.9,0.24,1.4,0.035,0.44,60.0,247.0,0.9935799999999999,3.34,9.6,6,medium quality
